       dt   error f=2y error f=-50y
1.000e-02    2.956e-04    2.328e-24
1.024e-02    2.797e-04    2.586e-24
1.048e-02    2.213e-04    2.896e-24
1.072e-02    3.257e-04    3.126e-24
1.097e-02    4.029e-04    3.403e-24
1.123e-02    2.555e-04    3.862e-24
1.150e-02    3.418e-04    4.201e-24
1.177e-02    5.434e-04    4.503e-24
1.205e-02    5.906e-04    4.951e-24
1.233e-02    4.736e-04    5.558e-24
1.262e-02    7.267e-04    5.968e-24
1.292e-02    7.663e-04    6.581e-24
1.322e-02    6.808e-04    7.342e-24
1.353e-02    7.567e-04    8.065e-24
1.385e-02    6.076e-04    9.020e-24
1.417e-02    7.377e-04    9.872e-24
1.451e-02    1.181e-03    1.060e-23
1.485e-02    1.349e-03    1.163e-23
1.520e-02    1.440e-03    1.283e-23
1.556e-02    1.276e-03    1.433e-23
1.592e-02    1.177e-03    1.594e-23
1.630e-02    1.312e-03    1.755e-23
1.668e-02    1.721e-03    1.913e-23
1.707e-02    2.362e-03    2.075e-23
1.748e-02    1.830e-03    2.344e-23
1.789e-02    2.875e-03    2.522e-23
1.831e-02    3.071e-03    2.791e-23
1.874e-02    3.083e-03    3.104e-23
1.918e-02    2.556e-03    3.494e-23
1.963e-02    4.060e-03    3.767e-23
2.009e-02    2.633e-03    4.314e-23
2.057e-02    3.146e-03    4.760e-23
2.105e-02    5.405e-03    5.118e-23
2.154e-02    4.496e-03    5.802e-23
2.205e-02    6.144e-03    6.344e-23
2.257e-02    5.647e-03    7.155e-23
2.310e-02    7.617e-03    7.844e-23
2.364e-02    8.012e-03    8.785e-23
2.420e-02    9.881e-03    9.713e-23
2.477e-02    1.065e-02    1.089e-22
2.535e-02    1.144e-02    1.225e-22
2.595e-02    1.254e-02    1.378e-22
2.656e-02    1.302e-02    1.562e-22
2.719e-02    1.020e-02    1.816e-22
2.783e-02    1.686e-02    1.987e-22
2.848e-02    1.060e-02    2.372e-22
2.915e-02    1.190e-02    2.709e-22
2.984e-02    1.341e-02    3.107e-22
3.054e-02    1.601e-02    3.563e-22
3.126e-02    1.958e-02    4.094e-22
3.199e-02    2.254e-02    4.753e-22
3.275e-02    2.132e-02    5.664e-22
3.352e-02    2.839e-02    6.564e-22
3.430e-02    3.945e-02    7.563e-22
3.511e-02    2.405e-02    9.785e-22
3.594e-02    3.754e-02    1.142e-21
3.678e-02    4.821e-02    1.367e-21
3.765e-02    3.873e-02    1.783e-21
3.854e-02    4.958e-02    2.194e-21
3.944e-02    6.480e-02    2.706e-21
4.037e-02    5.956e-02    3.641e-21
4.132e-02    8.491e-02    4.514e-21
4.229e-02    6.811e-02    6.552e-21
4.329e-02    6.262e-02    9.363e-21
4.431e-02    8.619e-02    1.252e-20
4.535e-02    9.809e-02    1.782e-20
4.642e-02    1.082e-01    2.623e-20
4.751e-02    1.296e-01    3.846e-20
4.863e-02    9.507e-02    6.857e-20
4.977e-02    9.430e-02    1.141e-19
5.094e-02    1.524e-01    1.660e-19
5.214e-02    1.892e-01    2.665e-19
5.337e-02    2.106e-01    4.638e-19
5.462e-02    2.251e-01    8.535e-19
5.591e-02    2.446e-01    1.609e-18
5.722e-02    2.846e-01    2.990e-18
5.857e-02    1.833e-01    8.284e-18
5.995e-02    3.115e-01    1.328e-17
6.136e-02    3.161e-01    3.020e-17
6.280e-02    4.139e-01    5.715e-17
6.428e-02    3.779e-01    1.535e-16
6.579e-02    4.775e-01    3.134e-16
6.734e-02    4.412e-01    8.933e-16
6.893e-02    6.042e-01    1.724e-15
7.055e-02    6.414e-01    4.482e-15
7.221e-02    5.240e-01    1.611e-14
7.391e-02    7.115e-01    3.299e-14
7.565e-02    7.751e-01    8.794e-14
7.743e-02    6.840e-01    3.112e-13
7.925e-02    1.080e+00    5.016e-13
8.111e-02    1.398e+00    9.842e-13
8.302e-02    1.604e+00    2.381e-12
8.498e-02    1.659e+00    7.196e-12
8.697e-02    1.526e+00    2.748e-11
8.902e-02    1.175e+00    1.342e-10
9.112e-02    1.864e+00    1.906e-10
9.326e-02    2.551e+00    3.055e-10
9.545e-02    3.207e+00    5.563e-10
9.770e-02    1.754e+00    6.424e-09
1.000e-01    4.252e+00    2.756e-09
