       dt        error
1.000e-02    1.929e-22
1.024e-02    1.929e-22
1.048e-02    1.929e-22
1.072e-02    1.929e-22
1.097e-02    1.929e-22
1.123e-02    1.929e-22
1.150e-02    1.929e-22
1.177e-02    1.929e-22
1.205e-02    1.929e-22
1.233e-02    1.929e-22
1.262e-02    1.929e-22
1.292e-02    1.929e-22
1.322e-02    1.929e-22
1.353e-02    1.929e-22
1.385e-02    1.929e-22
1.417e-02    1.929e-22
1.451e-02    1.929e-22
1.485e-02    1.929e-22
1.520e-02    1.929e-22
1.556e-02    1.929e-22
1.592e-02    1.929e-22
1.630e-02    1.929e-22
1.668e-02    1.929e-22
1.707e-02    1.929e-22
1.748e-02    1.929e-22
1.789e-02    1.929e-22
1.831e-02    1.929e-22
1.874e-02    1.929e-22
1.918e-02    1.929e-22
1.963e-02    1.929e-22
2.009e-02    1.929e-22
2.057e-02    1.929e-22
2.105e-02    1.929e-22
2.154e-02    1.929e-22
2.205e-02    1.929e-22
2.257e-02    1.929e-22
2.310e-02    1.929e-22
2.364e-02    1.929e-22
2.420e-02    1.929e-22
2.477e-02    1.927e-22
2.535e-02    2.404e-22
2.595e-02    9.651e-21
2.656e-02    1.229e-18
2.719e-02    9.913e-17
2.783e-02    5.458e-15
2.848e-02    9.088e-14
2.915e-02    2.845e-12
2.984e-02    6.756e-11
3.054e-02    1.247e-09
3.126e-02    1.830e-08
3.199e-02    1.302e-07
3.275e-02    1.348e-06
3.352e-02    1.161e-05
3.430e-02    6.012e-05
3.511e-02    3.909e-04
3.594e-02    2.178e-03
3.678e-02    8.795e-03
3.765e-02    3.874e-02
3.854e-02    1.494e-01
3.944e-02    4.930e-01
4.037e-02    1.553e+00
4.132e-02    4.637e+00
4.229e-02    1.213e+01
4.329e-02    3.313e+01
4.431e-02    7.297e+01
4.535e-02    1.838e+02
4.642e-02    3.448e+02
4.751e-02    8.073e+02
4.863e-02    1.302e+03
4.977e-02    2.851e+03
5.094e-02    3.987e+03
5.214e-02    8.210e+03
5.337e-02    1.003e+04
5.462e-02    1.950e+04
5.591e-02    2.093e+04
5.722e-02    3.858e+04
5.857e-02    7.059e+04
5.995e-02    6.420e+04
6.136e-02    1.119e+05
6.280e-02    9.050e+04
6.428e-02    1.506e+05
6.579e-02    2.492e+05
6.734e-02    1.734e+05
6.893e-02    2.749e+05
7.055e-02    4.339e+05
7.221e-02    2.613e+05
7.391e-02    3.963e+05
7.565e-02    5.988e+05
7.743e-02    3.140e+05
7.925e-02    4.568e+05
8.111e-02    6.626e+05
8.302e-02    9.584e+05
8.498e-02    4.255e+05
8.697e-02    5.939e+05
8.902e-02    8.270e+05
9.112e-02    3.231e+05
9.326e-02    4.349e+05
9.545e-02    5.842e+05
9.770e-02    7.834e+05
1.000e-01    1.049e+06
